chopsticks,rice,,,,,,,,,,,,,,,,
rice,detergent,cooking oil,,,,,,,,,,,,,,,
tupperware,dishwashing liquid,paper straw,gun lighter,mophead,steel wool,,,,,,,,,,,,
plastic bag,ice bag,toothpick,sauce cup,rice,,,,,,,,,,,,,
rice,paper bag,tissue,disposable gloves,toothpick,trash bag,,,,,,,,,,,,
cooking oil,flour,rice,cling wrap,tissue,tupperware,chicken powder,sauce cup,vinyl gloves,,,,,,,,,
rice,detergent,cooking oil,,,,,,,,,,,,,,,
aluminum foil,bento box,chopsticks,dishwashing liquid,rice,,,,,,,,,,,,,
rice,cooking oil,barbecue stick,,,,,,,,,,,,,,,
cooking oil,detergent,rice,pepper,,,,,,,,,,,,,,
cooking oil,aluminum foil,plastic straw,cling wrap,vinyl gloves,plastic bag,tissue,flour,,,,,,,,,,
bread crumbs,dishwashing liquid,,,,,,,,,,,,,,,,
chopsticks,dishwashing liquid,sponge,mophead,tupperware,oyster sauce,rice,gun lighter,,,,,,,,,,
spoon,cooking oil,,,,,,,,,,,,,,,,
salt,detergent powder,rice,cooking oil,,,,,,,,,,,,,,
cooking oil,rice,,,,,,,,,,,,,,,,
rice,chopsticks,dishwashing liquid,mophead,sponge,trash bag,paper straw,tupperware,,,,,,,,,,
plastic bag,cling wrap,gun lighter,flour,cooking oil,rice flour,,,,,,,,,,,,
rice,flour,,,,,,,,,,,,,,,,
bread crumbs,sponge,,,,,,,,,,,,,,,,
rice,oyster sauce,chopsticks,dishwashing liquid,trash bag,plastic bag,gun lighter,packaging tape,,,,,,,,,,
cooking oil,umbrella stick,flour,,,,,,,,,,,,,,,
rice,cooking oil,detergent,,,,,,,,,,,,,,,
cooking oil,flour,,,,,,,,,,,,,,,,
rice,bag closer,,,,,,,,,,,,,,,,
flour,cooking oil,cling wrap,aluminum foil,tissue,trash bag,sponge,,,,,,,,,,,
rice,chopsticks,dishwashing liquid,trash bag,mophead,ice bag,plastic bag,sauce cup,salad cup,sponge,steel wool,disposable gloves,,,,,,
cooking oil,sponge,steel wool,,,,,,,,,,,,,,,
cooking oil,detergent powder,rice,,,,,,,,,,,,,,,
rice,rice,flour,,msg,,,,,,,,,,,,,
flour,rice,cooking oil,,,,,,,,,,,,,,,
rice,flour,rice wrapper,doormat,,,,,,,,,,,,,,
cooking oil,rice,,,,,,,,,,,,,,,,
cooking oil,rice,spoon,,,,,,,,,,,,,,,
chopsticks,rice,,,,,,,,,,,,,,,,
umbrella stick,flour,cooking oil,,,,,,,,,,,,,,,
detergent,cooking oil,rice,,,,,,,,,,,,,,,
paper bag,plastic bag,,,,,,,,,,,,,,,,
dishwashing liquid,bread crumbs,,,,,,,,,,,,,,,,
rice,cooking oil,mophead,flour,tupperware,plastic bag,tissue,sauce cup,salad cup,sponge,cooking oil,,,,,,,
detergent,pepper,cooking oil,rice,,,,,,,,,,,,,,
rice,flour,,,,,,,,,,,,,,,,
paper bag,cooking oil,,,,,,,,,,,,,,,,
rice,chopsticks,,,,,,,,,,,,,,,,
rice,mophead,sauce cup,gun lighter,paper straw,sponge,steel wool,trash bag,spaghetti box,,,,,,,,,
white sugar,paper plate,coffee sticker,paper cup,,,,,,,,,,,,,,
meal box,fork,spoon,,,,,,,,,,,,,,,
meal box,spoon,fork,,,,,,,,,,,,,,,
meal box,spoon,fork,paper bag,,,,,,,,,,,,,,
meal box,spoon,fork,paper bag,,,,,,,,,,,,,,
meal box,spoon,fork,,,,,,,,,,,,,,,
cooking oil,oyster sauce,vinegar,aluminum foil,chicken powder,,,,,,,,,,,,,
plastic bag,paper cup,,,,,,,,,,,,,,,,
